latitude,longitude,ownership,postNumber,propertyType,totalPrice,usableArea
59.8175540678183,10.4470539093018,Andel,1386,,5554892,74
59.2236290757841,10.9887810360281,Eier (Selveier),1651,,6260455,83
59.216917705561,10.9513148503666,Eier (Selveier),1605,,6602594,95
59.8773715194473,10.4871060755329,Eier (Selveier),1396,,13191567,134
59.2232028679867,10.9880199013989,Andel,1651,,5218571,70
59.7419592184,10.1654304857,Eier (Selveier),3048,,4223333,52
59.6747618448855,10.2470523118973,Eier (Selveier),3039,,6962000,109
59.7401474065104,10.1730952742552,Eier (Selveier),3048,,7852958,139
59.9151776427717,10.5827428285291,Eier (Selveier),1357,,11949608,103
59.7157,10.1501,Eier (Selveier),3032,Leilighet,4997592,65
59.2226005293626,10.9882751355216,Eier (Selveier),1651,Leilighet,13515430,126
59.827,10.4286,Eier (Selveier),1388,,8377475,126
58.3353100577716,8.5397362128826,Eier (Selveier),4886,Enebolig,4780092,135
58.2866605556131,8.49400311176358,Eier (Selveier),4887,Enebolig,5429427,168
58.185392924998,8.11019165732658,Eier (Selveier),4656,Tomannsbolig,6762342,179
59.7157,10.1501,Eier (Selveier),3032,,7130321,90
58.0748,7.8754,Eier (Selveier),4643,,8342420,164
58.0802771791299,7.83341550187839,Eier (Selveier),4640,,8561372,231
58.1112465267503,7.96868031391093,Eier (Selveier),4623,,6047002,127
58.2752345589195,8.41332111246785,Eier (Selveier),4790,,5395958,139
59.9364370525386,10.9640443936443,Eier (Selveier),1470,,13186370,242
59.9195,10.9515,Eier (Selveier),1461,,6209060,68
58.2482748603928,7.18800264413588,Eier (Selveier),4588,Enebolig,2959750,157
58.7463644051811,8.87045181118866,Eier (Selveier),4985,Enebolig,2999717,83
58.6237098163664,8.94561767578125,Eier (Selveier),4904,,2727122,90
59.4289,10.6392,Eier (Selveier),1515,,8510248,85
58.1719,8.2412,Eier (Selveier),4770,,1872590,49
59.8565716505725,10.6634840583572,Eier (Selveier),1456,,8726337,100
60.0753859567124,11.1436469514774,Eier (Selveier),2040,,6368948,162
59.4188624841098,10.6752332805559,Eier (Selveier),1523,,4516115,60
59.2660207498136,11.1761810032114,Andel,1739,,3595032,66
59.5978,10.7661,Eier (Selveier),1540,,6123478,94
59.7578216416133,9.82268912949327,Eier (Selveier),3320,,3815833,76
60.1482,11.167,Eier (Selveier),2050,,4958992,75
59.9462437723207,10.62114047189,Eier (Selveier),1359,,8411874,64
59.7860533803276,10.4428582080008,Eier (Selveier),1389,,6563934,101
59.2107640415755,11.0016818521139,Andel,1639,,9706766,134
59.7491,10.0114,Andel,3050,,5582624,82
59.2107640415755,11.0016818521139,Andel,1639,,6518517,102
59.7860533803276,10.4428582080008,Eier (Selveier),1389,,4559508,67
59.9236534641092,10.5917354023367,Eier (Selveier),1357,,7761941,65
59.2107640415755,11.0016818521139,Andel,1639,,4576697,75
59.9236534641092,10.5917354023367,Eier (Selveier),1357,,9113705,78
59.8340977031505,10.4128940886552,Eier (Selveier),1383,,8382710,80
59.3034,10.9703,Eier (Selveier),1667,,5374075,147
59.9076,10.6123,Eier (Selveier),1368,Leilighet,9794542,96
58.2866210768213,8.49384621328821,Eier (Selveier),4887,Enebolig,4018177,119
59.7171615218722,10.1497685671354,Eier (Selveier),3032,,6942033,89
59.4952,10.6846,Eier (Selveier),1555,,20773271,266
59.7231,10.2589,Andel,3039,,9014467,94
59.7172589056788,10.1502104082637,Andel,3032,,5504909,74
59.7230662549466,10.2588794905071,Andel,3039,,12543500,130
59.6564,10.7897,Andel,1430,Leilighet,6929700,92
59.5215,10.7081,Eier (Selveier),1555,,11358842,211
60.0741029013999,11.1379948918981,Eier (Selveier),2040,,5785646,83
59.2841,11.0341,Eier (Selveier),1719,,3616420,67
59.7446,10.739,Eier (Selveier),1407,,7810122,171
59.3489276630716,10.9422053753468,Eier (Selveier),1640,,3653842,74
59.2463943660738,11.1856124406006,Eier (Selveier),1743,Rekkehus,3703876,103
59.2904960909477,11.0680988392581,Andel,1712,,5752409,97
60.0741029013999,11.1379948918981,Eier (Selveier),2040,,6069126,130
60.1414032383673,11.1598031042791,Andel,2063,,4197329,57
60.1414032383673,11.1598031042791,Andel,2063,Leilighet,3943739,53
60.1329145546136,11.1891629815597,Eier (Selveier),2050,,7007867,145
59.5977075087744,10.7652341536522,Eier (Selveier),1540,Leilighet,4514946,64
59.8922396757947,10.6188485686736,Andel,1364,,12477764,104
59.5977075087744,10.7652341536522,Eier (Selveier),1540,Leilighet,4315388,64
59.905934642065,11.088606309669,Eier (Selveier),2008,Rekkehus,6238742,144
59.2079,10.9091,Eier (Selveier),1678,,7250796,80
59.9347376593101,10.9655052490818,Eier (Selveier),1462,Tomannsbolig,12078842,180
59.8922396757947,10.6188485686736,Andel,1364,,10455432,85
59.7987774360563,10.4446170780311,Eier (Selveier),1389,,10402605,223
59.9255040728761,10.4521076188942,Eier (Selveier),1340,,8635709,121
59.9076,10.6123,Eier (Selveier),1368,,8917952,82
60.0741029013999,11.1379948918981,Eier (Selveier),2040,,6294126,173
60.1330427827482,11.1892488756927,Eier (Selveier),2050,,6595298,117
58.2741040808663,8.4145721805545,Eier (Selveier),4790,Enebolig,6435000,198
58.1466126720038,7.05013275146484,Eier (Selveier),4580,Enebolig,5372592,172
60.2304,11.0204,Eier (Selveier),2030,,3326931,62
59.419107543125,10.6755725114151,Eier (Selveier),1523,,5251378,72
58.4374,8.7389,Eier (Selveier),4817,Leilighet,8889657,118
59.939600473399,10.9843006629935,Eier (Selveier),1472,Leilighet,15786480,167
59.9450137891129,10.9603147672762,Eier (Selveier),1470,Leilighet,4669120,46
59.9153003419631,10.5877410475527,Eier (Selveier),1357,,14594581,136
60.2199,11.0359,Eier (Selveier),2030,,4916902,108
59.9449911026488,10.9603208961799,Eier (Selveier),1470,Leilighet,3805920,37
58.2639384058312,8.50443966039825,Eier (Selveier),4888,Enebolig,5279427,153
59.8922396757947,10.6188485686736,Andel,1364,,14179277,107
59.8922396757947,10.6188485686736,Andel,1364,,9025760,78
59.7580608484036,10.007406248938,Eier (Selveier),3055,,5707870,83
59.4203979365501,10.6646087106522,Eier (Selveier),1524,,5491667,89
59.3752335562533,10.7581901550293,Eier (Selveier),1580,,4169588,66
59.2703146773766,11.1751546489856,Andel,1739,,5768335,127
59.3504008068869,11.1881958568413,Eier (Selveier),1735,,3500795,80
59.8474990188817,10.462649767235,Eier (Selveier),1384,,10934694,152
60.0741029013999,11.1379948918981,Andel,2040,,4800003,67
59.9236534641092,10.5917354023367,Eier (Selveier),1357,Leilighet,9046390,80
59.2232544397581,10.912500493222,Eier (Selveier),1621,,9329004,201
